,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
587,2007Q1,36.63,Mariginiup,1700000,4.0,2,6078,Perth
590,2007Q1,36.63,Gnangara,1200000,4.0,2,6077,Perth
591,2007Q1,36.63,Karawara,860000,4.0,2,6152,Perth
594,2007Q1,36.63,Karawara,735000,4.0,2,6152,Perth
595,2007Q1,36.63,Viveash,750000,4.0,2,6056,Perth
596,2007Q1,36.63,Mariginiup,1600000,4.0,2,6078,Perth
600,2007Q1,36.63,Mahogany Creek,810000,4.0,2,6072,Perth
601,2007Q1,36.63,Mardella,270000,4.0,2,6125,Perth
604,2007Q1,36.63,Ashfield,430000,4.0,2,6054,Perth
606,2007Q1,36.63,Wungong,989000,4.0,2,6112,Perth
607,2007Q1,36.63,North Lake,775000,4.0,2,6163,Perth
611,2007Q1,36.63,Viveash,585000,4.0,2,6056,Perth
613,2007Q2,36.63,Millendon,895000,4.0,2,6056,Perth
615,2007Q2,36.63,Anketell,1250000,4.0,2,6167,Perth
618,2007Q2,36.63,Ashfield,510000,4.0,2,6054,Perth
621,2007Q2,36.63,Kiara,212500,4.0,2,6054,Perth
622,2007Q2,36.63,Mardella,835000,4.0,2,6125,Perth
624,2007Q2,36.63,Herne Hill,900000,4.0,2,6056,Perth
626,2007Q2,36.63,Bickley,1400000,4.0,2,6076,Perth
627,2007Q2,36.63,Herne Hill,1610000,4.0,2,6056,Perth
628,2007Q2,36.63,Herne Hill,880000,4.0,2,6056,Perth
630,2007Q2,36.63,Ashfield,440000,4.0,2,6054,Perth
633,2007Q2,36.63,Mundijong,550000,4.0,2,6123,Perth
634,2007Q2,36.63,Ashfield,495000,4.0,2,6054,Perth
638,2007Q2,36.63,Millendon,1277000,4.0,2,6056,Perth
639,2007Q2,36.63,North Lake,795000,4.0,2,6163,Perth
645,2007Q2,36.63,Gnangara,995000,4.0,2,6077,Perth
646,2007Q3,36.63,Kiara,168000,4.0,2,6054,Perth
651,2007Q3,36.63,North Lake,530000,4.0,2,6163,Perth
656,2007Q3,36.63,Boya,680000,4.0,2,6056,Perth
661,2007Q3,36.63,Karragullen,602000,4.0,2,6111,Perth
663,2007Q3,36.63,Ashfield,490000,4.0,2,6054,Perth
664,2007Q3,36.63,Brigadoon,1200000,4.0,2,6069,Perth
670,2007Q3,36.63,Cardup,1200000,4.0,2,6122,Perth
671,2007Q3,36.63,Bickley,572000,4.0,2,6076,Perth
672,2007Q3,36.63,Kiara,385000,4.0,2,6054,Perth
675,2007Q3,36.63,Daglish,1495000,4.0,2,6008,Perth
678,2007Q3,36.63,Karawara,652000,4.0,2,6152,Perth
679,2007Q3,36.63,Oldbury,1950000,4.0,2,6121,Perth
680,2007Q3,36.63,Oldbury,1400000,4.0,2,6121,Perth
682,2007Q3,36.63,Ashfield,525000,4.0,2,6054,Perth
683,2007Q3,36.63,North Lake,695000,4.0,2,6163,Perth
687,2007Q3,36.63,Brigadoon,975000,4.0,2,6069,Perth
690,2007Q3,36.63,Brigadoon,990000,4.0,2,6069,Perth
