,Date,Average_Iron_Ore_Price,ID,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
0,2000Q1,12.449999999999998,2381,Bickley,165000,3,1,6076,Perth
1,2000Q1,12.449999999999998,9573,Mariginiup,196000,4,2,6078,Perth
2,2000Q1,12.449999999999998,17506,Mariginiup,190000,5,2,6078,Perth
3,2000Q1,12.449999999999998,17644,Mahogany Creek,98000,2,1,6072,Perth
4,2000Q1,12.449999999999998,18608,Mardella,235000,4,1,6125,Perth
5,2000Q1,12.449999999999998,22852,Hovea,117000,4,2,6071,Perth
6,2000Q1,12.449999999999998,30323,Keysbrook,190000,3,1,6126,Perth
7,2000Q1,12.449999999999998,31420,Gnangara,347000,4,4,6077,Perth
8,2000Q1,12.449999999999998,33146,Upper Swan,706000,3,2,6069,Perth
9,2000Q2,12.449999999999998,2921,Hovea,270000,4,2,6071,Perth
10,2000Q2,12.449999999999998,4034,Mariginiup,140000,4,1,6078,Perth
11,2000Q2,12.449999999999998,5851,Hovea,230000,4,3,6071,Perth
12,2000Q2,12.449999999999998,9237,Mahogany Creek,172500,3,2,6072,Perth
13,2000Q2,12.449999999999998,21810,Orange Grove,140000,6,3,6109,Perth
14,2000Q2,12.449999999999998,24375,Gnangara,365000,4,2,6077,Perth
15,2000Q2,12.449999999999998,27852,Jandabup,297500,4,2,6077,Perth
16,2000Q2,12.449999999999998,29626,Sawyers Valley,217500,3,2,6074,Perth
17,2000Q2,12.449999999999998,29735,Sawyers Valley,215000,4,2,6074,Perth
18,2000Q2,12.449999999999998,31626,Boya,165000,3,1,6056,Perth
19,2000Q3,12.449999999999998,8511,Mariginiup,145000,5,2,6078,Perth
20,2000Q3,12.449999999999998,14330,Mardella,77000,3,1,6125,Perth
21,2000Q3,12.449999999999998,14694,Jandabup,186500,4,2,6077,Perth
22,2000Q3,12.449999999999998,16528,Carmel,152000,3,1,6076,Perth
23,2000Q3,12.449999999999998,16847,Boya,360000,4,2,6056,Perth
24,2000Q3,12.449999999999998,19035,Hovea,115000,4,2,6071,Perth
25,2000Q3,12.449999999999998,19066,Mahogany Creek,113000,2,1,6072,Perth
26,2000Q3,12.449999999999998,26201,Bickley,315000,4,2,6076,Perth
27,2000Q3,12.449999999999998,30184,Gnangara,170000,4,2,6077,Perth
28,2000Q3,12.449999999999998,31769,Hovea,165000,3,1,6071,Perth
29,2000Q4,12.449999999999998,5112,Orange Grove,154000,3,2,6109,Perth
30,2000Q4,12.449999999999998,5874,Hovea,180000,4,3,6071,Perth
31,2000Q4,12.449999999999998,6391,Mariginiup,190000,3,2,6078,Perth
32,2000Q4,12.449999999999998,10191,Mariginiup,144500,4,2,6078,Perth
33,2000Q4,12.449999999999998,14815,Hovea,128500,3,2,6071,Perth
34,2000Q4,12.449999999999998,30270,Keysbrook,240000,4,2,6126,Perth
35,2000Q4,12.449999999999998,31151,Anketell,254000,4,2,6167,Perth
36,2001Q1,12.99,1391,Pickering Brook,225000,4,2,6076,Perth
37,2001Q1,12.99,7539,West Swan,220000,3,2,6055,Perth
38,2001Q1,12.99,18026,Jandabup,167000,4,2,6077,Perth
39,2001Q1,12.99,24932,Hazelmere,327000,4,1,6055,Perth
40,2001Q1,12.99,25973,Haynes,350000,4,2,6112,Perth
41,2001Q2,12.99,4202,Gnangara,180000,4,1,6077,Perth
42,2001Q2,12.99,9398,Bickley,204750,3,2,6076,Perth
43,2001Q2,12.99,11044,Mahogany Creek,153500,4,2,6072,Perth
44,2001Q2,12.99,11516,Hovea,125000,3,2,6071,Perth
45,2001Q2,12.99,12906,Koongamia,77000,2,1,6056,Perth
46,2001Q2,12.99,15584,Jandabup,255000,4,2,6077,Perth
47,2001Q2,12.99,15662,Sawyers Valley,311500,5,3,6074,Perth
48,2001Q2,12.99,20175,Mahogany Creek,85000,4,2,6072,Perth
49,2001Q2,12.99,26271,Mariginiup,400000,4,3,6078,Perth
50,2001Q2,12.99,28042,Mardella,525000,3,1,6125,Perth
51,2001Q2,12.99,32030,Gnangara,175000,4,2,6077,Perth
52,2001Q3,12.99,2958,Gnangara,170000,5,1,6077,Perth
53,2001Q3,12.99,3371,Mardella,88000,4,2,6125,Perth
54,2001Q3,12.99,6717,Hazelmere,125000,2,1,6055,Perth
55,2001Q3,12.99,6906,Hovea,310000,2,2,6071,Perth
56,2001Q3,12.99,7636,Mahogany Creek,125000,3,2,6072,Perth
57,2001Q3,12.99,8558,Mardella,175000,5,2,6125,Perth
58,2001Q3,12.99,11391,Boya,178000,3,1,6056,Perth
59,2001Q3,12.99,15286,Mariginiup,225000,3,2,6078,Perth
60,2001Q3,12.99,15703,Mahogany Creek,367000,3,2,6072,Perth
61,2001Q3,12.99,16077,Hopeland,270000,4,3,6125,Perth
62,2001Q3,12.99,19939,Mahogany Creek,117000,4,2,6072,Perth
63,2001Q3,12.99,22788,Gnangara,280000,6,2,6077,Perth
64,2001Q3,12.99,23009,Carmel,470000,3,2,6076,Perth
65,2001Q3,12.99,25166,Gnangara,180000,4,2,6077,Perth
66,2001Q3,12.99,27895,Gnangara,195000,4,2,6077,Perth
67,2001Q3,12.99,28409,Orange Grove,375000,5,2,6109,Perth
68,2001Q3,12.99,29800,Bickley,200000,3,2,6076,Perth
69,2001Q3,12.99,31152,Gnangara,210000,7,2,6077,Perth
70,2001Q4,12.99,3076,Hovea,475000,4,1,6071,Perth
71,2001Q4,12.99,3100,Sawyers Valley,260000,4,2,6074,Perth
72,2001Q4,12.99,4182,Brigadoon,1150000,5,2,6069,Perth
73,2001Q4,12.99,4725,Haynes,230000,4,1,6112,Perth
74,2001Q4,12.99,7382,Gnangara,210000,4,2,6077,Perth
75,2001Q4,12.99,8229,Upper Swan,330000,4,1,6069,Perth
76,2001Q4,12.99,8518,Mahogany Creek,187000,5,3,6072,Perth
77,2001Q4,12.99,9457,Brigadoon,125000,4,2,6069,Perth
78,2001Q4,12.99,11446,Oldbury,320000,5,1,6121,Perth
79,2001Q4,12.99,16510,Mahogany Creek,168000,4,1,6072,Perth
80,2001Q4,12.99,20159,Sawyers Valley,255000,3,2,6074,Perth
81,2001Q4,12.99,21885,Brigadoon,650000,4,2,6069,Perth
82,2001Q4,12.99,24418,Sawyers Valley,224500,4,2,6074,Perth
83,2001Q4,12.99,24571,Gnangara,422500,4,2,6077,Perth
84,2001Q4,12.99,28148,Oldbury,125793,5,1,6121,Perth
85,2001Q4,12.99,28529,West Swan,626000,4,5,6055,Perth
86,2001Q4,12.99,28802,Mariginiup,190000,5,3,6078,Perth
87,2001Q4,12.99,30139,Carabooda,185000,4,2,6033,Perth
88,2002Q1,12.68,2965,Brigadoon,115000,4,1,6069,Perth
89,2002Q1,12.68,4081,Mahogany Creek,75000,4,1,6072,Perth
90,2002Q1,12.68,6573,Boya,150000,3,1,6056,Perth
91,2002Q1,12.68,7842,Walliston,160000,2,1,6076,Perth
92,2002Q1,12.68,8448,Mariginiup,216000,3,2,6078,Perth
93,2002Q1,12.68,9683,Sawyers Valley,68500,4,2,6074,Perth
94,2002Q1,12.68,9822,Gnangara,250000,2,2,6077,Perth
95,2002Q1,12.68,12829,North Lake,205000,3,2,6163,Perth
96,2002Q1,12.68,13853,Wooroloo,180000,6,3,6558,Perth
97,2002Q1,12.68,14313,Hovea,250000,2,2,6071,Perth
98,2002Q1,12.68,14606,Mardella,77000,4,2,6125,Perth
99,2002Q1,12.68,16174,Hazelmere,61000,4,2,6055,Perth
100,2002Q1,12.68,16925,Sawyers Valley,265000,4,2,6074,Perth
101,2002Q1,12.68,17630,Brigadoon,117500,4,2,6069,Perth
102,2002Q1,12.68,19919,Sawyers Valley,250000,5,2,6074,Perth
103,2002Q1,12.68,25842,Oldbury,265000,4,2,6121,Perth
104,2002Q1,12.68,25966,Mariginiup,367000,2,2,6078,Perth
105,2002Q1,12.68,27531,North Lake,270000,3,2,6163,Perth
106,2002Q1,12.68,27544,Casuarina,270000,4,2,6167,Perth
107,2002Q1,12.68,27882,North Lake,250000,3,2,6163,Perth
108,2002Q1,12.68,28728,Hazelmere,190000,4,1,6055,Perth
109,2002Q1,12.68,29777,Mahogany Creek,148000,3,1,6072,Perth
110,2002Q1,12.68,30424,Carmel,100000,4,1,6076,Perth
111,2002Q2,12.68,4422,Brigadoon,132000,4,1,6069,Perth
112,2002Q2,12.68,4499,Sawyers Valley,205000,4,2,6074,Perth
113,2002Q2,12.68,5507,Mardella,77000,3,1,6125,Perth
114,2002Q2,12.68,6086,Walliston,250000,3,2,6076,Perth
115,2002Q2,12.68,6721,West Swan,265000,4,1,6055,Perth
116,2002Q2,12.68,7695,Belhus,285000,5,2,6069,Perth
117,2002Q2,12.68,10250,Wungong,409000,10,3,6112,Perth
118,2002Q2,12.68,13336,Jandabup,950000,4,2,6077,Perth
119,2002Q2,12.68,15120,Wungong,325000,2,2,6112,Perth
120,2002Q2,12.68,16257,Mahogany Creek,142000,3,1,6072,Perth
121,2002Q2,12.68,17627,Bickley,590000,4,2,6076,Perth
122,2002Q2,12.68,17887,Gnangara,224000,4,2,6077,Perth
123,2002Q2,12.68,18964,North Lake,425000,5,2,6163,Perth
124,2002Q2,12.68,19054,Hovea,220000,4,2,6071,Perth
125,2002Q2,12.68,19335,Brigadoon,119000,4,2,6069,Perth
126,2002Q2,12.68,20363,Orange Grove,300000,4,2,6109,Perth
127,2002Q2,12.68,22927,Wooroloo,97000,3,1,6558,Perth
128,2002Q2,12.68,23192,West Swan,240000,4,2,6055,Perth
129,2002Q2,12.68,24035,Wungong,375000,5,2,6112,Perth
130,2002Q3,12.68,3204,Mundijong,102000,2,1,6123,Perth
131,2002Q3,12.68,4337,Mariginiup,390000,4,2,6078,Perth
132,2002Q3,12.68,5060,Belhus,198000,4,1,6069,Perth
133,2002Q3,12.68,8650,Brigadoon,124000,4,2,6069,Perth
134,2002Q3,12.68,9208,Neerabup,490000,3,2,6031,Perth
135,2002Q3,12.68,9808,Mahogany Creek,280000,4,1,6072,Perth
136,2002Q3,12.68,10248,Wattleup,161500,4,2,6166,Perth
137,2002Q3,12.68,11219,Mardella,77000,4,1,6125,Perth
138,2002Q3,12.68,12053,Hovea,225000,5,3,6071,Perth
139,2002Q3,12.68,15672,Gnangara,185000,5,1,6077,Perth
140,2002Q3,12.68,17187,Sawyers Valley,87500,3,1,6074,Perth
141,2002Q3,12.68,20180,Herne Hill,290000,5,2,6056,Perth
142,2002Q3,12.68,28408,Wattleup,268000,3,1,6166,Perth
143,2002Q3,12.68,29425,Brigadoon,109950,5,2,6069,Perth
144,2002Q3,12.68,30463,Baskerville,515000,3,1,6056,Perth
145,2002Q3,12.68,32715,North Lake,385000,4,3,6163,Perth
146,2002Q4,12.68,339,Mardella,270000,4,2,6125,Perth
147,2002Q4,12.68,1793,Hovea,545000,3,2,6071,Perth
148,2002Q4,12.68,1935,Boya,180000,3,3,6056,Perth
149,2002Q4,12.68,2923,Brigadoon,132000,2,2,6069,Perth
150,2002Q4,12.68,5084,Mundijong,205000,4,2,6123,Perth
151,2002Q4,12.68,6868,Belhus,377000,4,2,6069,Perth
152,2002Q4,12.68,9161,Jandabup,400000,4,2,6077,Perth
153,2002Q4,12.68,10553,Koongamia,81000,2,1,6056,Perth
154,2002Q4,12.68,11433,Hovea,215000,5,3,6071,Perth
155,2002Q4,12.68,12418,Baskerville,450000,7,4,6056,Perth
156,2002Q4,12.68,14441,Brigadoon,660000,6,5,6069,Perth
157,2002Q4,12.68,14839,Hopeland,480000,4,2,6125,Perth
158,2002Q4,12.68,16087,Herne Hill,305000,4,1,6056,Perth
159,2002Q4,12.68,17947,Brigadoon,109950,4,3,6069,Perth
160,2002Q4,12.68,18396,Wattleup,370000,5,2,6166,Perth
161,2002Q4,12.68,18696,Casuarina,85000,4,2,6167,Perth
162,2002Q4,12.68,19732,Brigadoon,465000,4,3,6069,Perth
163,2002Q4,12.68,26074,Sawyers Valley,215000,4,2,6074,Perth
164,2002Q4,12.68,26558,Mardella,270000,4,2,6125,Perth
165,2002Q4,12.68,27742,Pickering Brook,435000,4,1,6076,Perth
166,2002Q4,12.68,28088,Carabooda,175000,5,2,6033,Perth
167,2002Q4,12.68,28963,North Lake,184000,3,1,6163,Perth
168,2002Q4,12.68,29096,Mahogany Creek,195000,3,1,6072,Perth
169,2002Q4,12.68,31083,Bickley,224000,3,2,6076,Perth
170,2002Q4,12.68,31302,Brigadoon,114900,3,1,6069,Perth
171,2002Q4,12.68,31648,Bickley,198000,4,1,6076,Perth
172,2002Q4,12.68,33198,Mundijong,102000,4,2,6123,Perth
173,2003Q1,13.82,2497,Walliston,200000,5,2,6076,Perth
174,2003Q1,13.82,6838,Hazelmere,178000,2,1,6055,Perth
175,2003Q1,13.82,8835,Mahogany Creek,240000,4,2,6072,Perth
176,2003Q1,13.82,9695,Koongamia,120000,2,1,6056,Perth
177,2003Q1,13.82,12129,Sawyers Valley,350000,4,2,6074,Perth
178,2003Q1,13.82,13027,Koongamia,90000,3,3,6056,Perth
179,2003Q1,13.82,17654,Herne Hill,340000,2,1,6056,Perth
180,2003Q1,13.82,18297,Brigadoon,124000,3,1,6069,Perth
181,2003Q1,13.82,18521,Cardup,107000,4,2,6122,Perth
182,2003Q1,13.82,22312,Herne Hill,410000,4,2,6056,Perth
183,2003Q1,13.82,22917,Cardup,340000,4,2,6122,Perth
184,2003Q1,13.82,25491,Koongamia,99900,2,1,6056,Perth
185,2003Q1,13.82,26903,Casuarina,370000,4,2,6167,Perth
186,2003Q1,13.82,28255,Sawyers Valley,188000,5,1,6074,Perth
187,2003Q1,13.82,28580,Gnangara,187000,4,3,6077,Perth
188,2003Q1,13.82,29918,Gnangara,595000,5,2,6077,Perth
189,2003Q1,13.82,30317,Gnangara,230000,4,1,6077,Perth
190,2003Q1,13.82,31996,Mariginiup,490000,4,2,6078,Perth
191,2003Q1,13.82,33256,Mariginiup,478000,4,2,6078,Perth
192,2003Q1,13.82,33421,Wattleup,460000,4,2,6166,Perth
193,2003Q2,13.82,1244,Mardella,87140,5,1,6125,Perth
194,2003Q2,13.82,3072,Herne Hill,285000,8,2,6056,Perth
195,2003Q2,13.82,3192,Herne Hill,380000,4,2,6056,Perth
196,2003Q2,13.82,6135,Mardella,95460,5,2,6125,Perth
197,2003Q2,13.82,9390,Brigadoon,410000,4,2,6069,Perth
198,2003Q2,13.82,10078,Hazelmere,160000,4,1,6055,Perth
199,2003Q2,13.82,10561,Koongamia,108000,2,1,6056,Perth
200,2003Q2,13.82,11121,Gnangara,485000,5,2,6077,Perth
201,2003Q2,13.82,11323,Brigadoon,125000,4,2,6069,Perth
202,2003Q2,13.82,12060,Sawyers Valley,290000,4,2,6074,Perth
203,2003Q2,13.82,13195,Herne Hill,340000,4,2,6056,Perth
204,2003Q2,13.82,13888,Herne Hill,355000,4,2,6056,Perth
205,2003Q2,13.82,14776,North Lake,570000,4,4,6163,Perth
206,2003Q2,13.82,14965,Koongamia,117500,2,1,6056,Perth
207,2003Q2,13.82,15809,Koongamia,110000,2,1,6056,Perth
208,2003Q2,13.82,17990,Hazelmere,257000,4,1,6055,Perth
209,2003Q2,13.82,19815,Gnangara,473000,4,2,6077,Perth
210,2003Q2,13.82,21889,Upper Swan,470000,3,2,6069,Perth
211,2003Q2,13.82,22030,Koongamia,140000,3,1,6056,Perth
212,2003Q2,13.82,23770,Hovea,140000,4,1,6071,Perth
213,2003Q2,13.82,25839,Sawyers Valley,215000,1,1,6074,Perth
214,2003Q2,13.82,30196,Sawyers Valley,283000,4,2,6074,Perth
215,2003Q2,13.82,33236,Millendon,367500,3,1,6056,Perth
216,2003Q3,13.82,1113,Gnangara,445000,4,2,6077,Perth
217,2003Q3,13.82,1967,Mardella,85420,4,2,6125,Perth
218,2003Q3,13.82,3077,Hovea,255000,3,2,6071,Perth
219,2003Q3,13.82,3104,Belhus,530000,5,2,6069,Perth
220,2003Q3,13.82,3413,Walliston,162000,4,1,6076,Perth
221,2003Q3,13.82,4234,Mardella,85420,5,1,6125,Perth
222,2003Q3,13.82,5871,Carmel,380000,4,2,6076,Perth
223,2003Q3,13.82,5897,Wungong,425000,6,2,6112,Perth
224,2003Q3,13.82,7715,Casuarina,478000,4,2,6167,Perth
225,2003Q3,13.82,9064,Karragullen,280000,3,3,6111,Perth
226,2003Q3,13.82,9155,Mahogany Creek,206000,3,1,6072,Perth
227,2003Q3,13.82,12009,Karawara,265000,3,1,6152,Perth
228,2003Q3,13.82,12480,Mardella,84950,4,1,6125,Perth
229,2003Q3,13.82,15687,Mahogany Creek,210000,2,2,6072,Perth
230,2003Q3,13.82,15918,Gnangara,485000,4,2,6077,Perth
231,2003Q3,13.82,15966,Herne Hill,160000,3,2,6056,Perth
232,2003Q3,13.82,21068,Gnangara,452000,5,2,6077,Perth
233,2003Q3,13.82,21093,Mardella,87640,4,2,6125,Perth
234,2003Q3,13.82,21598,Mundijong,305000,4,2,6123,Perth
235,2003Q3,13.82,21791,Pickering Brook,569250,4,2,6076,Perth
236,2003Q3,13.82,24306,Walliston,233000,2,1,6076,Perth
237,2003Q3,13.82,24397,Koongamia,130000,4,2,6056,Perth
238,2003Q3,13.82,26347,Wattleup,353000,4,1,6166,Perth
239,2003Q3,13.82,27656,Hopeland,320000,5,2,6125,Perth
240,2003Q3,13.82,28044,Mahogany Creek,195000,4,2,6072,Perth
241,2003Q3,13.82,29729,Koongamia,133000,3,1,6056,Perth
242,2003Q3,13.82,29763,Karawara,402500,4,2,6152,Perth
243,2003Q3,13.82,30001,Mundijong,181000,4,2,6123,Perth
244,2003Q3,13.82,30458,Karawara,440000,4,2,6152,Perth
245,2003Q3,13.82,31898,Herne Hill,575000,6,2,6056,Perth
246,2003Q4,13.82,4196,Jandabup,285000,4,2,6077,Perth
247,2003Q4,13.82,4502,Mundijong,165000,3,1,6123,Perth
248,2003Q4,13.82,4580,Walliston,279000,4,2,6076,Perth
249,2003Q4,13.82,5005,Oldbury,400000,5,2,6121,Perth
